# Relevant parameters to reproduce this network:
# node_nr=2000	 k_max=200
# initial_seed=10	 delta_t=0.1	 max_steps=1000	 in_between=0
# fg_m=1	 fg_alpha=0	 fg_t_min=0	 fg_t_max=4	 fg_t_number=8000	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=1000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.001 0.0159512 0.00879109 0
0.0005 0.001 0.0222379 0.010655 0
0.001 0.001 0.0190564 0.0104446 0
0.0015 0.001 0.0182194 0.0125453 0
0.002 0.001 0.0234695 0.0123616 0
0.0025 0.001 0.0180603 0.00943175 0
0.003 0.001 0.0186479 0.0104747 0
0.0035 0.001 0.0197516 0.0123084 0
0.004 0.001 0.0177379 0.00890281 0
0.0045 0.001 0.0214005 0.0107652 0
0.005 0.001 0.0207737 0.0114351 0
0.0055 0.001 0.0202454 0.0108723 0
0.006 0.001 0.0182028 0.0124889 0
0.0065 0.001 0.0204772 0.00966518 0
0.007 0.001 0.025822 0.0126658 0
0.0075 0.001 0.0168021 0.00902959 0
0.008 0.001 0.0226738 0.010209 0
0.0085 0.001 0.021866 0.0108826 0
0.009 0.001 0.0206251 0.00805291 0
0.0095 0.001 0.0190538 0.00890409 0
0.01 0.001 0.0211157 0.0107339 0
0.0105 0.001 0.021674 0.0132477 0
0.011 0.001 0.0176123 0.00917822 0
0.0115 0.001 0.0169609 0.00928979 0
0.012 0.001 0.0173304 0.00806892 0
0.0125 0.001 0.0228017 0.0100177 0
0.013 0.001 0.0215916 0.00993127 0
0.0135 0.001 0.0138182 0.00762953 0
0.014 0.001 0.0185359 0.012448 0
0.0145 0.001 0.0252462 0.0112985 0
0.015 0.001 0.0177451 0.00875704 0
0.0155 0.001 0.0199047 0.0107406 0
0.016 0.001 0.0181163 0.00962009 0
0.0165 0.001 0.0221312 0.0107398 0
0.017 0.001 0.0177892 0.0091659 0
0.0175 0.001 0.0186107 0.00965829 0
0.018 0.001 0.0217724 0.00967128 0
0.0185 0.001 0.0192204 0.00954552 0
0.019 0.001 0.0203127 0.00936735 0
0.0195 0.001 0.0183195 0.00907362 0
0.02 0.001 0.019819 0.00913944 0
0.0205 0.001 0.0225569 0.0084087 0
0.021 0.001 0.0182554 0.0102494 0
0.0215 0.001 0.021846 0.009859 0
0.022 0.001 0.0184981 0.00943916 0
0.0225 0.001 0.0198749 0.0084763 0
0.023 0.001 0.0218445 0.0100784 0
0.0235 0.001 0.021591 0.0106736 0
0.024 0.001 0.0190245 0.00834275 0
0.0245 0.001 0.021551 0.0106307 0
0.025 0.001 0.0174129 0.0107865 0
0.0255 0.001 0.018755 0.0100597 0
0.026 0.001 0.0174283 0.00965887 0
0.0265 0.001 0.0187802 0.010817 0
0.027 0.001 0.0213034 0.0108577 0
0.0275 0.001 0.0205891 0.00911136 0
0.028 0.001 0.0177432 0.00841246 0
0.0285 0.001 0.0205693 0.0106201 0
0.029 0.001 0.0192195 0.00915686 0
0.0295 0.001 0.0223384 0.0108279 0
0.03 0.001 0.0232008 0.0113066 0
0.0305 0.001 0.018163 0.00854009 0
0.031 0.001 0.0165778 0.00751733 0
0.0315 0.001 0.0215078 0.0110162 0
0.032 0.001 0.0188248 0.00799932 0
0.0325 0.001 0.0194979 0.0117441 0
0.033 0.001 0.0175537 0.011199 0
0.0335 0.001 0.0212409 0.0100021 0
0.034 0.001 0.0101797 0.00502225 0
0.0345 0.001 0.0203254 0.0103089 0
0.035 0.001 0.0225143 0.0124703 0
0.0355 0.001 0.0182378 0.0102133 0
0.036 0.001 0.0207378 0.0072278 0
0.0365 0.001 0.016586 0.00770475 0
0.037 0.001 0.0168723 0.0088326 0
0.0375 0.001 0.0185795 0.00974882 0
0.038 0.001 0.0211349 0.0080909 0
0.0385 0.001 0.021097 0.0112357 0
0.039 0.001 0.0173056 0.0106108 0
0.0395 0.001 0.0205676 0.0102568 0
0.04 0.001 0.0233684 0.0113222 0
