# Relevant parameters to reproduce this network:
# node_nr=1000	 k_max=100
# initial_seed=1557414222	 delta_t=0.1	 max_steps=3000	 in_between=0
# fg_m=1	 fg_alpha=-1	 fg_t_min=0	 fg_t_max=1.2	 fg_t_number=1200	 fg_weff_lower_frequency=-1e+08	 fg_weff_max_steps=3000	 fg_weff_in_between=0
# K Giant_component <r> sigma_r*sqrt(NODE_NR) clustering
0 0.002 0.03471 0.0608948 0
0.001 0.002 0.0400379 0.0606218 0
0.002 0.002 0.0394737 0.061005 0
0.003 0.002 0.037812 0.0621115 0
0.004 0.002 0.0367937 0.0611863 0
0.005 0.002 0.0379482 0.0606137 0
0.006 0.002 0.0418308 0.0633618 0
0.007 0.002 0.0414288 0.0633336 0
0.008 0.002 0.0421062 0.0598634 0
0.009 0.002 0.0423542 0.0618946 0
0.01 0.002 0.0371568 0.0613698 0
0.011 0.002 0.0395228 0.0625683 0
0.012 0.002 0.0421499 0.0636417 0
0.013 0.002 0.0403271 0.0648437 0
0.014 0.002 0.0397624 0.0609121 0
0.015 0.002 0.0366528 0.0637349 0
0.016 0.002 0.0398512 0.0594441 0
0.017 0.002 0.0400899 0.0644165 0
0.018 0.002 0.0424454 0.0597028 0
0.019 0.002 0.0379311 0.0610898 0
0.02 0.002 0.0397411 0.0605834 0
0.021 0.002 0.0389848 0.0608524 0
0.022 0.002 0.0415935 0.0602762 0
0.023 0.002 0.0374103 0.0623699 0
0.024 0.002 0.0396429 0.0618276 0
0.025 0.002 0.0390712 0.061773 0
0.026 0.002 0.0392952 0.0601036 0
0.027 0.002 0.0406211 0.0630637 0
0.028 0.002 0.0392038 0.0611073 0
0.029 0.002 0.0384491 0.0596008 0
0.03 0.002 0.0394898 0.0616322 0
0.031 0.002 0.0382191 0.0616585 0
0.032 0.002 0.0357011 0.0625342 0
0.033 0.002 0.03846 0.0634361 0
0.034 0.002 0.0401365 0.0614162 0
0.035 0.003 0.0407354 0.0628346 0
0.036 0.003 0.0427689 0.0600795 0
